Site Number,LastUpdated,Last Updated By,Municode,Site Name,Address,City,County,Municipality,State,Zip Code,Ownership Type,Ownership,PStatus,PI Number,Owner Name,Owner Organization,Authorized Representative,Auth Rep Relation to Owner,Owner Phone,Owner Fax,Owner Email,Owner Address,Owner Street,Owner City,Owner State,Owner Zip Code,Owner County,Municipal Contact Name,Department,Municipal Contact Title,Contact Relation to Owner,Municipal Contact Phone,Municipal Contact Fax,Municipal Contact Email,Municipal Contact Street,Municipal Contact City,Municipal Contact State,Municipal Contact Zip Code,Description,Additional Comments,Transaction Type,Transfer Type,Current Zoning,Proposed Zoning,Copy of Title Insurance,Block,Lot,X Coordinate,Y Coordinate,Coord,Development Plan Completed,Market Study Completed,Current Activity,Current Operations,Prior Operations,Acres,Size Range,Deed Restrictions,Easements,Buildings,Condition of Buildings,Square Footage,Total Buildable Space,Assessed Value,Sale Price,Lease Price,Tax Certificate,Annual Taxes,Tax Lien,Other Liens/Judgements,Traffic Study,Road Access,Waterfront Access,Airport Access,Public Transportation Access,Major Highway Name,Major Highway Interchange,Major Highway Miles Away,Local Highway Name,Local Highway Interchange,Local Highway Miles Away,Rail Type,Rail Name,Rail Station,Rail Miles Away,Public Water,Electric,Gas,Public Sewer,Telephone,Cable,Fiber Optics,Wetlands,Sensitive Ecosystems/Habitats,Endangered Species,Historic/Archeological Site,100 Year Flood Plain,500 Year Flood Plain,Environmental Report Copies,List Containing Site,Preliminary Assessment,Site Investigation,Remedial Investigation,Remedial Action Workplan,Voluntary Cleanup Program,Environmental Litigation,Remediation In Progress,Remediation Estimated Complete Date,Regulatory sign-off,Regulatory Sign-Off Description,Other Incentives,Low Interest Rates,HDSRF Grants,TIF,HDSRF Loans,USA Loans,USA Grants,Designated Redevelopment Area,Environmental Opportunity Zone,Tax Rebate or Abatement,Empowerment Zone (Federal),Urban Coordinating Council Neighborhood,Enterprise Community (Federal),Urban Enterprise Zone,Create Date,County_int_FK,Municipality_int_FK,Planning Area Designation,Authorized Representative Email,Authorized Representative Phone,RepresentativeAddress,RepresentativeStreet,RepresentativeCity,RepresentativeState,RepresentativeZip,SubmitterName,SubmitterAddress1,SubmitterAddress2,SubmitterCity,SubmitterState,SubmitterZip,SubmitterEmail,SubmitterPhone
2755,,Josh Curley,0906,HACK. RIV.(PJP Landfill),HACK. RIV.,Jersey City,HUDSON,Jersey City,NJ,07302,Private,Corporation,Nominated,,. .,"550B DUNCAN AVENUE, L.L.C.",.,.,9999999999,9999999999,njbrownfields@njra.state.nj.us,,2 LENOX RD.,Wayne,NJ,07470,,Barbara Netchert,City of Jersey City,"Director, Dept. of Housing, Economic Development & Commerce",,2015475070,9999999999,njbrownfields@njra.state.nj.us,30 Montgomery Street,Jersey City,NJ,07302,Coming Soon...,,,,Residential,,,1639.A,7.E,,,0:0,Unknown,Unknown,Abandoned,,,4.2,3 – 5,No,Unknown,0,,,,"Less than $250,000",,,No,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,,,,,,,,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,,,9999999999,,,,,,,,,,,,,
2756,,Pawna Avalani,0906,Prolerized Schiabo-Neu Company,FT.OF LINDEN AVE.,Jersey City,HUDSON,Jersey City,NJ,07302,Private,Corporation,Nominated,,. .,"LCP CHEMICALS & PLASTICS, INC",.,.,9999999999,9999999999,njbrownfields@njra.state.nj.us,,P O BOX 484,Linden,NJ,07036,,Kamal  Saleh,Union County Planning Division,Supervisor of Transportation & Land Use Planning,,9085274086,9999999999,ksaleh@ucnj.org,10 Elizabethtown Plaza,Elizabeth,NJ,07207,Coming Soon...,,,,Unknown,,,1507,18,,,0:0,Unknown,Unknown,Abandoned,,,7.3,6 – 10,No,Unknown,0,,,,"Greater than $1,000,000",,,No,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,,,,,,,,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,,,9999999999,,,,,,,,,,,,,
3234,7/27/16,Barry Ableman,0906,Joseph Dixon Mills Development ,167 Wayne Street,Jersey City,HUDSON,Jersey City,NJ,07302,Private,Corporation,No Longer Brownfield,,* *,Dixon Mill Assoc.,Dixon Mill Assoc.,Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,350 VETERANS BLVD. ,RUTHERFORD,NJ,07070,,Betty  Kearns,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S.,Jersey City,NJ,07305,Newly Developed multi condos on Wayne Street.  ,No information for this address or name on dataminer,,,Unknown,,,346,34,617040.454,687757.394,617040.454:687757.394,Unknown,Unknown,Active,,,1.089,1 – 2,No,No,1,Good,47413,*,"Greater than $1,000,000",,,No,300150,No,No,Unknown,2-Lane,Yes,Yes,Yes,NJ Turnpike ,14 B,5,1&9 ,,1,Commuter And Freight,Light Rail,Jersey Avenue,<1,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3235,,Paul Kaczka,0906,General Pencil Company,67 Fleet Avenue ,Jersey City,HUDSON,Jersey City,NJ,07306,Private,Corporation,Nominated,,General Pencil Company  *,GENERAL PENCIL CO. ,GENERAL PENCIL CO.,Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,67-73 FLEET ST. ,JERSEY CITY,NJ,07306,,Betty Kearns,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S. ,Jersey City,NJ,07305,Three story buildings on Fleet Street near Baldwin Avenue.,,,,Residential,,,561,11.B,615491.785,692685.672,615491.785:692685.672,Unknown,Unknown,Active,,,.038,Less than .25,No,No,1,Fair to Good,51.47x32 ,*,"Less than $250,000",,,No,5594.175,No,No,Unknown,,Yes,Yes,Yes,78,,1,1&9 ,,1,Commuter And Freight,Light Rail,,3,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3253,8/18/16,Barry Ableman,0906,134 Garfield Avenue,134 Garfield Avenue ,Jersey City,HUDSON,Jersey City,NJ,07305,Private,Corporation,No Longer Brownfield,,Gates Roads Assoc.  *,"GATES RD. ASSOC.,LLC ",*,Same,9999999999,9999999999,,,"235 PARK AVE.SO.,18TH FL ",New York,NY,10003,,,City of Jersey City,,,9999999999,9999999999,,,Jersey City,NJ,07305,"Tenants in the building Beverly Hills Furniture Inc., Robert Karp Container Corp, Poliform USA LLC, Gates Road Associates",No information on Data Miner,,,Other,,,1405,13,604402.125,675979.687,604402.125:675979.687,Unknown,Unknown,Under used (not fully used),,,6.761,6 – 10,No,Unknown,1,Poor to Fair,296X974 6.56 ,*,"Greater than $1,000,000",,,No,72450,No,No,Unknown,2-Lane,Yes,Yes,Yes,78,,2,440,,1,Commuter And Freight,Light Rail,Garfield,1,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3255,,Paul Kaczka,0906,Wings MFG Corp/ Jazzman Sportswear,31 Wilkinson Avenue,Jersey City,HUDSON,Jersey City,NJ,07305,Private,Corporation,Nominated,,* *,STEXON REALTY CO. ,STEXON REALTY CO. ,Same,9999999999,9999999999,njbownfields@njra.state.nj.us,,15 WILKINSON AVE. ,Jersey City,NJ,07305,,Betty  Kearns,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S.,Jersey City,NJ,07305,*,,,,Other,,,1480,1,609471.668,681668.644,609471.668:681668.644,Unknown,Unknown,Active,,,1.739,1 – 2,No,Unknown,1,Fair to Good,,*,"$250,000 to $1,000,000",,,No,45281.25,No,No,Unknown,2-Lane,Yes,Yes,Yes,78,14B,2,440,,3,Commuter And Freight,Hudson Bergen Light Rail,Garfield Ave,2,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3258,,Paul Kaczka,0906,Westside Station Development ,441- Claremont Ave,Jersey City,HUDSON,Jersey City,NJ,07304,Public,State,Redeveloped,,Ê Ê,NEW JERSEY TRANSIT,NEW JERSEY TRANSIT,Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,ONE PENN PLAZA EAST ,Newark,NJ,07102,,Betty  Kearns,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S.,Jersey City,NJ,07305,Developing site of city homes at Westside station in devlopment.,,,,Other,,,1776,2,605412.170,686080.103,605412.170:686080.103,Unknown,Unknown,Active,,,4.250,3 – 5,No,Unknown,0,Good,,*,"$250,000 to $1,000,000",,,No,15152.4,No,No,Unknown,2-Lane,Yes,Yes,Yes,78,14B,3,440,,1,Commuter And Freight,Light Rail,Westside,1,Yes,Yes,Yes,Yes,No,No,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3259,,Paul Kaczka,0906,Walsh Dodge Parts & Service ,76 Fisk Street,Jersey City,HUDSON,Jersey City,NJ,07305,Private,Corporation,Redeveloped,,* *,LEW REALTY INVEST. % MIKE G. ,LEW REALTY INVEST. % MIKE G. ,Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,271 CULVER AVE. ,Jersey City,NJ,07305,,Betty  Kearns,City of Jersey City ,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S.,Jersey City,NJ,07305,Walsh Dodge Parts & Service easily accesibly from rt 440.  ,,,,Residential,,,1295,"7,46",604773.933,685462.238,604773.933:685462.238,Unknown,Unknown,Active,,,.057,Less than .25,No,Unknown,1,Good,,*,"Less than $250,000",,,No,8129.93,No,No,Unknown,2-Lane,Yes,Yes,Yes,1&9,,1,440,,1,Commuter And Freight,Light Rail,West Side,1,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3260,,Donna Rendeiro,0906,Former Dye Specialities ,3 Bennett Street,Jersey City,HUDSON,Jersey City,NJ,07304,Private,Corporation,Deleted,,* *,DYE SPECIALTIES CORP. ,DYE SPECIALTIES CORP. ,Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,P.O. BOX 4130,Jersey City,NJ,07305,, ,,,,9999999999,9999999999,,,,,,Building in poor condition located on Bennett Street on the corner of Clarke Avenue.  ,,,,Residential,,,1768,"2,37",604922.312,687225.968,604922.312:687225.968,Unknown,Unknown,Inactive (out of use),,,.073,Less than .25,No,No,1,Poor,,*,"$250,000 to $1,000,000",,,No,19551.15,No,No,Unknown,2-Lane,Yes,Yes,Yes,1&9,,2,440,,1,Commuter And Freight,Light Rail,West Side,1,Yes,Yes,Yes,Yes,Yes,No,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3261,,Paul Kaczka,0906,GM Service Parts Department ,315 Clendenny Avenue,Jersey City,HUDSON,Jersey City,NJ,07304,Private,Corporation,Nominated,,* *,J.& S. EQUITY ASSOC.C/O W.R. CLEVEN,J.& S. EQUITY ASSOC.C/O W.R. CLEVEN,Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,4 SAWGRASS STREET,JACKSON,NJ,08527,,Betty  Kearns,City if Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S. ,Jersey City,NJ,07305,GM Service Parts Department with parking storage facility.  Building on the corner of Bennet Street and Clendenny Avenue.  ,,,,Other,,,1761.1,1,605356.875,688212.656,605356.875:688212.656,Unknown,Unknown,Active,,,.953,.25 – 1,No,No,1,Good,,*,"Greater than $1,000,000",,,No,57525,No,No,Unknown,2-Lane,Yes,Yes,Yes,1& 9,,1,440,,1,Commuter And Freight,Light Rail,West Side,1,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3262,5/26/16,Barry Ableman,0906,Star Gas Station & Auto Repair ,1 West Side Avenue ,Jersey City,HUDSON,Jersey City,NJ,07305,Private,Corporation,No Longer Brownfield,,* *,T F C REALTY INC.,T F C REALTY INC.,Same,9999999999,9999999999,,,1 WEST SIDE AVE. ,JERSEY CITY,NJ,07305,,Jose Arango,City of Jersey City,Director,Division of Economic Development,2015476567,2015476566,ArangoJ@cojc.org,"30 Montgomery Street, 14th Floor",Jersey City,NJ,07302,Newly designed gas station on foot of West Side Avenue and Danforth Avenue.  ,,,,Other,,,1271.6,2,,,0:0,Unknown,Unknown,Active,,,.325,.25 – 1,No,No,1,Good,,*,"$250,000 to $1,000,000",,,No,19489.05,No,No,Unknown,4-Lane,Yes,Yes,Yes,78,14 A,1.5,440,,1,Commuter And Freight,Light rail,West Side,1,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3263,,Kevin Shinn,0906,Warehouse space ,687 Garfield Avenue ,Jersey City,HUDSON,Jersey City,NJ,07305,Private,Individual,Nominated,,MYRIAM  HERNANDEZ,,MYRIAM HERNANDEZ,Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,1 WILKINSON AVE.,Jersey City,NJ,07305,,Betty  Kearns,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte 440 S.,Jersey City,NJ,07305,Warehouse space corner of Garfield Avenue and Wilkinson Ave.  ,,,,Residential,,,1480,2,609696.636,681523.800,609696.636:681523.800,Unknown,Unknown,Under used (not fully used),,,.128,Less than .25,No,Unknown,1,Poor,,*,"$250,000 to $1,000,000",,,No,39480,Unknown,Unknown,Unknown,2-Lane,Yes,Yes,Yes,78,14 B,1,440,,3,Commuter And Freight,Light Rail,Garfield,1,Yes,Yes,Yes,Yes,Yes,No,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3264,7/27/16,Barry Ableman,0906,572 Communipaw Avenue ,572 Communipaw Avenue ,Jersey City,HUDSON,Jersey City,NJ,07304,Private,Corporation,Nominated,,* *,"DE ROSE, DANIEL JR -MAJOR PROD CO","DE ROSE, DANIEL JR -MAJOR PROD CO",Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,66 INDUSTRIAL AVE ,LITTLE FERRY ,NJ,07643,,Betty  Kearns,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S. ,Jersey City,NJ,07305,Abandoned building between Auto Sales and Police department on Communipaw.  ,"There is no record in Dataminer about this property, so it is not confirmed that it is brownfield.",,,Other,,,1932,"4,5,6",610903.489,686395.218,610903.489:686395.218,Unknown,Unknown,Under used (not fully used),,,.033,Less than .25,No,No,1,Poor,,*,"Less than $250,000",,,No,6210,No,No,Unknown,4-Lane,Yes,Yes,Yes,78,14B,0.5,440,,0.75,Commuter And Freight,Light Rail ,MLK,0.25,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3265,7/27/16,Barry Ableman,0906,Former YMCA ,654 Bergen Avenue ,Jersey City,HUDSON,Jersey City,NJ,07304,Private,Corporation,No Longer Brownfield,,* *,NEW HOPE URBAN REN % PROP. ACCT. ,NEW HOPE URBAN REN % PROP. ACCT. ,Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,95 BERKELEY STREET,BOSTON,MA,02116,,Betty  Kearns,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S,Jersey City,NJ,07305,Newly remodeled six story building on Bergen Avenue.  Former site of YMCA.  ,"There is no record in Dataminer about this property, so it is not confirmed that it is brownfield. Must have been redeveloped and no longer brownfield.",,,Mixed Use,,,1915,2,612791.199,687670.976,612791.199:687670.976,Unknown,Unknown,Redeveloped,,,.995,.25 – 1,No,No,1,Good,,*,"Greater than $1,000,000",,,No,64687,No,No,Unknown,2-Lane,Yes,Yes,Yes,78,14B,0.75,1&9,,0.25,Commuter And Freight,Light Rail,MLK,0.25,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3266,,Paul Kaczka,0906,Former Margaret Hague Maternity Hospital ,88 Clifton Avenue ,Jersey City,HUDSON,Jersey City,NJ,07304,Private,Corporation,Redeveloped,,City of Jersey City  *,"BALDWIN ASSET ASSOC. URBAN R.CO,LLC","BALDWIN ASSET ASSOC. URBAN R.CO,LLC",Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,731 LEXINGTON AVE.29TH FL,NEW YORK ,NY,10022,,Betty  Kearns,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S.,Jersey City ,NJ,07305,Abandoned and underutilized Former Margaret Hague Maternity Hospital.  Former Medical ,,,,Mixed Use,,,1915,"2,4",612791.199,687670.976,612791.199:687670.976,Unknown,Unknown,Inactive (out of use),,,.995,.25 – 1,No,No,1,Poor,,*,"Less than $250,000",,,No,11524,No,No,Unknown,2-Lane,Yes,Yes,Yes,78,14B,0.5,1&9,139,0.5,Commuter And Freight,Light Rail,Grand St,0.25,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3267,,Paul Kaczka,0906,32 Center Street ,32 Center Street,Jersey City,HUDSON,Jersey City,NJ,07302,Private,Individual,Archived,,ROBERT DE PAOLI ,,ROBERT DE PAOLI,Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,1027 BROADWAY,BAYONNE,NJ,07002,,Betty  Kearns,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S.,Jersey City ,NJ,07305,Abandoned building corner of Brook Street and Center Street.  ,,,,Other,,,2136,29,615424.194,686989.256,615424.194:686989.256,Unknown,Unknown,Under used (not fully used),,,.057,.25 – 1,No,No,1,Poor to Fair,,*,"Less than $250,000",,,No,5464,No,No,Unknown,2-Lane,Yes,Yes,Yes,78,14B,0.5,1&9,139,0.5,Commuter And Freight,Light Rail,Jersey Ave,0.25,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3268,, ,0906,13 Center Street,13 Center Street ,Jersey City,HUDSON,Jersey City,NJ,07302,Private,Corporation,Nominated,,* *,"MECCA & SON TRUCKING CO., INC. ","MECCA & SON TRUCKING CO., INC. ",Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,580 LUIS M. MARIN BLVD. ,Jersey City,NJ,07302,,Betty  Kearns ,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S.,Jersey City,NJ,07305,Prime location off of Grand Street.  Location for either residential or commercial use.  ,No Dataminer recorder,,,Other,,,2140,30,615389.965,686707.875,615389.965:686707.875,Unknown,Unknown,Under used (not fully used),,,.057,.25 – 1,No,Unknown,0,Poor,,*,"Less than $250,000",,,No,3260,No,No,Unknown,2-Lane,Yes,Yes,Yes,78,14B,0.5,1&9,139,0.5,Commuter And Freight,Light Rail,Jersey Ave,0.25,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3269,,Paul Kaczka,0906,Hazardous Chemical Storage ,207 Van Vorst Avenue,Jersey City,HUDSON,Jersey City,NJ,07302,Private,Corporation,Archived,,79-01 Associates  *,79-01 ASSOCIATES ,79-01 ASSOCIATES ,Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,79-51 COOPER AVE. ,GLENDALE,NY,11385,,Betty  Kearns,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S.,Jersey City,NJ,07305,Less than a half acre in land which is underutilized.  No buildings on property and is home to Hazardous Chemical Storage.  ,,,,Residential,,,165,7,,,0:0,Unknown,Unknown,Under used (not fully used),,,.043,.25 – 1,No,Unknown,1,Fair to Good,,*,,,,No,,No,No,Unknown,2-Lane,Yes,Yes,Yes,78,14B,0.75,1&9,139,0.75,Commuter And Freight,Light Rail ,Marin Blvd,0.25,No,No,No,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3270,,Paul Kaczka,0906,Board of Education ,225 Mercer Street ,Jersey City,HUDSON,Jersey City,NJ,07302,Public,Municipality,Archived,,Ê Ê,*,BOARD OF EDUCATION OF J C ,Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,346 CLAREMONT AVE. ,Jersey City,NJ,07305,,Betty  Kearns,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S.,Jersey City,NJ,07305,Newly Developed school located on Jersey Avenue.  ,,,,Other,,,407,33,617013.727,685986.611,617013.727:685986.611,Unknown,Unknown,Under used (not fully used),,,10.266,11 - 15,No,Unknown,1,Good,,*,"Greater than $1,000,000",,,No,301686,No,No,Unknown,2-Lane,Yes,Yes,Yes,78,14B,0.75,1&9,139,0.75,Commuter And Freight,Light Rail,Jersey Ave,0.25,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3271,,Paul Kaczka,0906,The Bakery Lofts ,176 Sherman Avenue ,Jersey City,HUDSON,Jersey City,NJ,07307,Private,Corporation,Redeveloped,,* *,"176 SHERMAN ST., L.L.C. ","176 SHERMAN ST., L.L.C. ",Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,220 WILLOW AVE. ,HOBOKEN ,NJ,07030,,Betty  Kearns,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S.,Jersey City,NJ,07305,Newly Developed housing complex on Sherman Avenue.  ,,,,Residential,,,774,5,,,0:0,Unknown,Unknown,Redeveloped,,,.057,.25 – 1,No,Unknown,1,Good,,*,,,,No,,Unknown,Unknown,Unknown,2-Lane,Yes,Yes,Yes,95,RTE 3E,1,1&9,139,0.25,Commuter And Freight,Light Rail,9th St Congress St,0.25,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
3272,,Barry,0906,Empty space on Laidlaw Avenue ,164 Laidlaw Ave,Jersey City,HUDSON,Jersey City,NJ,07306,Public,State,Nominated,,Ê Ê,NEW JERSEY SCHOOLS CONSTRUCTION ,NEW JERSEY SCHOOLS CONSTRUCTION ,Same,9999999999,9999999999,njbrownfields@njra.state.nj.us,,P.O. BOX 991,TRENTON,NJ,08625,,Betty  Kearns,City of Jersey City,Environmental Specialist,,2015476848,9999999999,bettyk@cojc.org,575 Rte. 440 S.,Jersey City,NJ,07305,Underutilized empty space of land on Laidlaw Avenue.  ,"1) NFA-E  (Entire Site) HISTORIC,12/31/2001 2) B: Single Phase RA - Single Contamination Affecting Only Soils established 12/28/2001",,,Residential,,,837,1,,,0:0,Unknown,Unknown,Under used (not fully used),,,2.675,1 – 2,No,Unknown,0,Poor,,*,,,,No,,Unknown,No,Unknown,,Unknown,Unknown,Unknown,,,,,,,,,,,Yes,Yes,Yes,Yes,No,Unknown,Unknown,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,9,252,Planning Area 1,,9999999999,,,,,,,,,,,,,
