Id,Status,Summary,Rating,Address,Description,Request type,Lat,Lng,Export tagged places,Updated at local,Created at local,Acknowledged at local,Reopened at local,Closed at local,Reported using mobile?,Minutes to acknowledged,Minutes to closed,Assignee name,Parsed street and number,Category,Sla in hours,Sla expires at local,Report method code,Report method
2564564,Open,Pothole,1,"133 Pacific Avenue Jersey City, NJ",,11923,40.70765551,-74.06806197,"Jersey City, NJ (City Boundary),2nd Battalion,Ward F,{""Id""=>0, ""Acres""=>767.751, ""CSO""=>""RE-3/4""}",06/06/2016 - 04:06PM,06/06/2016 - 04:06PM,,,,FALSE,,,Violet Robinson,133 Pacific Avenue,Streets: Pothole,168,06/13/2016 - 04:06PM,direct,Direct
2566930,Open,Animal Issue other than attack,1,Colgate Clock Jersey City NJ ,"Resident is complaining about owners not picking up after their dogs in this area. She also is concerned about dogs being allowed in such a closed in area. 
",16266,40.7281575,-74.0776417,"Ward B,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>208.548, ""CSO""=>""RW-7""},4th Battalion",06/07/2016 - 09:08AM,06/07/2016 - 09:08AM,,,,FALSE,,,Animal Control,Colgate Clock Jersey City,Animal Issue other than attack,,,phone,Phone
2567414,Acknowledged,Tree Trimming,2,487 Manila Ave Jersey City Nj,,15739,40.7269689,-74.042097,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>93.3282, ""CSO""=>""RE-17""},Ward E,1st Battalion",06/20/2016 - 01:43PM,06/07/2016 - 11:06AM,06/20/2016 - 01:43PM,,,FALSE,18876,,Alphonso Lynch,487 Manila Ave Jersey City NJ,Trees along City Streets,,,direct,Direct
2567577,Acknowledged,Tall grass or weeds,3,"64 And 70 Clerk St. Jersey City, NJ  07305",Both of these areas are overgrown with bushes and trees.  They are vacant lots and the owners do not pay any attention to them.   Neighbors are being encroached upon and area residents can't walk easily past these lots.,16280,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",10/18/2016 - 08:38AM,06/07/2016 - 11:39AM,10/18/2016 - 08:38AM,,,FALSE,191338,,Division of Sanitation-Aretha,64 and 70 Clerk St,Tall grass or weeds,,,direct,Direct
2571449,Open,Trash on Streets or in Lots,1,260 Griffith St Jersey City Nj,,16279,40.7478806,-74.0537979,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>178.393, ""CSO""=>""RW-2""},Ward D",06/08/2016 - 10:12AM,06/08/2016 - 10:12AM,,,,FALSE,,,Division of Sanitation-Aretha,260 Griffith St Jersey City NJ,Trash: Litter/debris,,,direct,Direct
2571456,Open,Trash on Streets or in Lots,1,1 Milton Ave Jersey City Nj,,16279,40.7477779,-74.05363,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>178.393, ""CSO""=>""RW-2""},Ward D",06/08/2016 - 10:13AM,06/08/2016 - 10:13AM,,,,FALSE,,,Division of Sanitation-Aretha,1 Milton Ave Jersey City NJ,Trash: Litter/debris,,,direct,Direct
2571464,Open,Trash on Streets or in Lots,1,948 Summit Ave Jersey City Nj,trash accumulating in front of home. ,16279,40.746383,-74.051813,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>380.503, ""CSO""=>""RE-19""},Ward D",06/08/2016 - 10:16AM,06/08/2016 - 10:16AM,,,,FALSE,,,Division of Sanitation-Aretha,948 Summit Ave Jersey City NJ,Trash: Litter/debris,,,direct,Direct
2571467,Open,Trash on Streets or in Lots,1,966 Summit Ave Jersey City Nj,Trash accumulating in front of home,16279,40.747074,-74.051424,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>380.503, ""CSO""=>""RE-19""},Ward D",06/08/2016 - 10:17AM,06/08/2016 - 10:16AM,,,,FALSE,,,Division of Sanitation-Aretha,966 Summit Ave Jersey City NJ,Trash: Litter/debris,,,direct,Direct
2571472,Open,Trash on Streets or in Lots,1,987 Summit Ave Jersey City Nj,,16279,40.7481932,-74.0512652,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>380.503, ""CSO""=>""RE-19""},Ward D",06/08/2016 - 10:18AM,06/08/2016 - 10:18AM,,,,FALSE,,,Division of Sanitation-Aretha,987 Summit Ave Jersey City NJ,Trash: Litter/debris,,,direct,Direct
2571499,Open,Water/sewer Issues,1,246 Griffith St Jersey City Nj,Sewer grate and surrounding area is caving in. ,16277,40.747672,-74.053192,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>380.503, ""CSO""=>""RE-19""},Ward D",06/08/2016 - 10:23AM,06/08/2016 - 10:23AM,,,,FALSE,,,JCMUA,246 Griffith St Jersey City NJ,Water/sewer Issues,,,direct,Direct
2571512,Open,Trash on Streets or in Lots,1,122 Lincoln St Jersey City NJ,Alley on right has trash accumulating,16279,40.748933,-74.054185,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>178.393, ""CSO""=>""RW-2""},Ward D",06/08/2016 - 10:26AM,06/08/2016 - 10:26AM,,,,FALSE,,,Division of Sanitation-Aretha,122 Lincoln St Jersey City,Trash: Litter/debris,,,direct,Direct
2571516,Open,Trash on Streets or in Lots,1,3424 Kennedy Blvd Jersey City Nj,Trash accumulating in parking lot against wall. ,16279,40.749154,-74.054895,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>178.393, ""CSO""=>""RW-2""},Ward D",06/08/2016 - 10:27AM,06/08/2016 - 10:27AM,,,,FALSE,,,Division of Sanitation-Aretha,3424 Kennedy Blvd Jersey City NJ,Trash: Litter/debris,,,direct,Direct
2571520,Open,Uncollected trash or recycling,1,139 Poplar Street,The trash in front of 139 Poplar was not picked up.,16281,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/08/2016 - 10:28AM,06/08/2016 - 10:28AM,,,,FALSE,,,,139 Poplar Street,Trash: Collection,,,phone,Phone
2571544,Open,Trash on Streets or in Lots,1,3428 Kennedy Blvd Jersey City Nj,,16279,40.749276,-74.054812,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>178.393, ""CSO""=>""RW-2""},Ward D",06/08/2016 - 10:32AM,06/08/2016 - 10:32AM,,,,FALSE,,,Division of Sanitation-Aretha,3428 Kennedy Blvd Jersey City NJ,Trash: Litter/debris,,,direct,Direct
2571563,Open,Trash on Streets or in Lots,1,3394 Kennedy Blvd Jersey City Nj,,16279,40.748178,-74.055594,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>178.393, ""CSO""=>""RW-2""},Ward D",06/08/2016 - 10:35AM,06/08/2016 - 10:35AM,,,,FALSE,,,Division of Sanitation-Aretha,3394 Kennedy Blvd Jersey City NJ,Trash: Litter/debris,,,direct,Direct
2571588,Open,Trash on Streets or in Lots,1,23 Oakland Ave Jersey City Nj,,16279,40.7334258,-74.056653,"3rd Battalion,Jersey City, NJ (City Boundary),Ward C,{""Id""=>0, ""Acres""=>509.092, ""CSO""=>""RE-18""}",06/08/2016 - 10:41AM,06/08/2016 - 10:41AM,,,,FALSE,,,Division of Sanitation-Aretha,23 Oakland Ave Jersey City NJ,Trash: Litter/debris,,,direct,Direct
2571723,Open,Uncollected trash or recycling,1,139 Poplar Street Jersey City Nj,,16281,40.755684,-74.050347,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>165.051, ""CSO""=>""RW-1""},Ward D",06/08/2016 - 10:58AM,06/08/2016 - 10:58AM,,,,FALSE,,,,139 Poplar Street Jersey City NJ,Trash: Collection,,,phone,Phone
2571749,Open,Business Complaint,2,325 Erie St,open after hours,15911,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/08/2016 - 11:05AM,06/08/2016 - 11:04AM,,,,FALSE,,,Commerce- Jolhn Coyne,325 erie st,Business Complaint,,,other,Other
2571791,Acknowledged,Trash on Streets or in Lots,2,"74 Van Nostrand Avenue Jersey City, NJ  07305",Seven tires in the yard collecting water and breeding mosquitoes.  ,16279,40.7004467,-74.084579,"Ward A,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>351.295, ""CSO""=>""RE-1""},2nd Battalion",10/14/2016 - 11:38AM,06/08/2016 - 11:14AM,10/14/2016 - 11:38AM,,,FALSE,184343,,Division of Sanitation-Aretha,74 Van Nostrand Avenue,Trash: Litter/debris,,,phone,Phone
2571819,Acknowledged,Tall grass or weeds,3,249 Pine St,,16280,40.7118184,-74.0596743,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/29/2016 - 09:25AM,06/08/2016 - 11:21AM,06/24/2016 - 10:32AM,,,FALSE,22990,,Division of Sanitation-Aretha,249 pine st,Tall grass or weeds,,,direct,Direct
2575935,Open,Tall grass or weeds,1,78 Cottage Street,  Tall weeds & garbage in the front of house . Resident that is complaining is a neighbor he stated there is posin  ivory in the back of the yard he stated there is garbage in the back of the yard also.,16280,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/09/2016 - 11:42AM,06/09/2016 - 11:21AM,,,,FALSE,,,Division of Sanitation-Aretha,78 Cottage street,Tall grass or weeds,,,phone,Phone
2576152,Open,Illegal Apartment(s),1,106 Paterson Street, There are residents living in the basement Owner was summons before !,15849,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/09/2016 - 02:58PM,06/09/2016 - 11:55AM,,,,FALSE,,,Zoning,106 Paterson Street,Illegal Apartment(s),,,direct,Direct
2576481,Acknowledged,Traffic and Parking signage/signal issue,3,Bennett St. Jersey City NJ  07304,Wrong Way - Do Not Enter sign is missing from the corner of Bennett St. and Virginia Avenue.,16289,40.7210222,-74.0917335,"Ward B,Jersey City, NJ (City Boundary),2nd Battalion,{""Id""=>0, ""Acres""=>248.272, ""CSO""=>""RW-8""}",06/30/2016 - 09:56AM,06/09/2016 - 01:06PM,06/20/2016 - 12:06PM,,,FALSE,15779,,Traffic - Patricia L,Bennett St. Jersey City,Traffic and Parking signage/signal issue,,,direct,Direct
2576532,Acknowledged,Traffic and Parking signage/signal issue,2,420 Virginia Ave Jersey City NJ  07304,,16289,40.72033,-74.0915519,"Ward B,Jersey City, NJ (City Boundary),2nd Battalion,{""Id""=>0, ""Acres""=>131.891, ""CSO""=>""RW-9""}",06/29/2016 - 03:31PM,06/09/2016 - 01:22PM,06/29/2016 - 03:31PM,,,FALSE,28928,,Traffic - Patricia L,420 Virginia Ave Jersey City,Traffic and Parking signage/signal issue,,,direct,Direct
2577020,Open,Pothole,2,116 Chapel Ave Jersey city,Multiple Potholes at  116 Chapel Ave near the US Army Department. ,11923,40.693457,-74.078933,"Ward A,Jersey City, NJ (City Boundary),2nd Battalion",08/08/2016 - 06:09PM,06/09/2016 - 03:22PM,,,,FALSE,,,Violet Robinson,116 Chapel Ave,Streets: Pothole,168,06/16/2016 - 03:22PM,phone,Phone
2577030,Acknowledged,Pothole,8,206 Chapel Ave Jersey City,"There are multiple potholes at 206 Chapel Ave, Near the Port Liberte",11923,40.6867237,-74.0725614,"Ward A,Jersey City, NJ (City Boundary),2nd Battalion",11/18/2016 - 09:01AM,06/09/2016 - 03:26PM,11/18/2016 - 09:01AM,11/18/2016 - 08:21AM,11/16/2016 - 06:23PM,FALSE,232955,,Violet Robinson,206 Chapel Ave,Streets: Pothole,168,06/16/2016 - 03:26PM,direct,Direct
2579613,Acknowledged,Housing Code Violations/Repairs,2,308 Mlk Dr Jersey City,,15919,40.709357,-74.080425,"Jersey City, NJ (City Boundary),2nd Battalion,Ward F,{""Id""=>0, ""Acres""=>767.751, ""CSO""=>""RE-3/4""}",06/10/2016 - 11:25AM,06/10/2016 - 09:32AM,06/10/2016 - 11:25AM,,,FALSE,113,,Housing Code Enforcement,308 Mlk Dr Jersey City,Housing Code Violations/Repairs,,,direct,Direct
2579675,Acknowledged,working without permits,2,218 Summit Ave," Resident that called stated the owner that bought the building has been demolishing the house since 2015 without permits. he is fixing the front ,back and the inside of the house at 218 Summit Ave !
",16284,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/21/2016 - 09:34AM,06/10/2016 - 09:47AM,06/20/2016 - 01:57PM,,,FALSE,14650,,Zoning,218 Summit Ave,Housing Request,,,direct,Direct
2579731,Acknowledged,Traffic and Parking signage/signal issue,3,"Pavonia Ave/Jfk Blvd. Jersey City, NJ  07306","The traffic signal at this corner changes much too fast to allow someone, especially someone elderly or disabled, ample time to cross the street safely on the Kennedy Blvd. side.",16289,40.7447059,-74.0582723,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>178.393, ""CSO""=>""RW-2""},Ward C",10/17/2016 - 02:55PM,06/10/2016 - 09:54AM,06/29/2016 - 03:36PM,,,FALSE,27702,,Traffic - Patricia L,Pavonia Ave/JFK Blvd,Traffic and Parking signage/signal issue,,,direct,Direct
2580219,Open,Rodent Control,1,74 Mlk Drive Jersey City,,16278,40.702543,-74.088505,"Ward A,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>351.295, ""CSO""=>""RE-1""},2nd Battalion",06/10/2016 - 11:55AM,06/10/2016 - 11:50AM,,,,FALSE,,,Chief Healh Investigator O.Diaz,74 Mlk Drive Jersey City,Rodent Control,,,direct,Direct
2580321,Open,Tall grass or weeds,1,"Clerk St. And Ocean Ave. Jersey City, NJ  07305",The houses surrounding 209 Clerk St. are neglectful of their yards.  These are attached houses on Clerk St.,16280,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/10/2016 - 12:21PM,06/10/2016 - 12:21PM,,,,FALSE,,,Division of Sanitation-Aretha,Clerk St. and Ocean Ave,Tall grass or weeds,,,phone,Phone
2580733,Open,Housing Code Violations/Repairs- Broken Sidewalk,1,521 Bergen Ave Jersey City Nj,,15919,40.7186064,-74.0752516,"Ward B,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion",06/10/2016 - 02:19PM,06/10/2016 - 02:19PM,,,,FALSE,,,Housing Code Enforcement,521 Bergen Ave Jersey City NJ,Housing Code Violations/Repairs,,,direct,Direct
2580824,Open,illegal Driveway,2,129 Beach St,,16590,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",07/10/2016 - 12:17AM,06/10/2016 - 02:41PM,,,,FALSE,,,Zoning,129 Beach St,Service Request Not Listed,,,direct,Direct
2580990,Acknowledged,Traffic Calming/Pedestrian Safety request,8,Summit Avenue Jersey City NJ  07307,"Resident is requesting a traffic light be installed at the corner of Summit Ave and Sherman Pl.  
She said there have been several accidents at this corner.",16287,40.7498108,-74.0497961,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>380.503, ""CSO""=>""RE-19""},Ward D",10/14/2016 - 12:35PM,06/10/2016 - 03:31PM,06/20/2016 - 01:21PM,,,FALSE,14269,,Traffic-AndrewV,Summit Avenue Jersey City,Traffic Calming/Pedestrian Safety request,,,direct,Direct
2581028,Open,Trash on Streets ,2,35 -37 Astor Place, These 2 house are  a ongoing issue the owner's from both house do not take care of the weeds and garbage from the front and back of the houses.,16279,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",07/31/2016 - 01:05PM,06/10/2016 - 03:46PM,,,,FALSE,,,Division of Sanitation-Aretha,35 -37 Astor place,Trash: Litter/debris,,,direct,Direct
2586601,Open,Uncollected  recycling,3,18 Clark Ave, on 18 Clark the residents recycling was not pick up!,16281,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/20/2016 - 01:55PM,06/13/2016 - 09:24AM,,06/20/2016 - 01:55PM,06/13/2016 - 09:26AM,FALSE,,,Yolanda - RRC,18 clark Ave,Trash: Collection,,,direct,Direct
2586760,Open,Trash on Streets or in Lots,1,"Mallory Avenue Jersey City, NJ  07304",On Mallory Avenue between Clendenny Ave. and Roosevelt Ave. there are two medians separating the street.  There is always garbage piled up on these medians.  They are the responsibility of the City department of DPW.  Resident has seen the City workers mow the area right over the litter.  It is sad that it can not be kept clean and better maintained.,16279,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/23/2016 - 03:22PM,06/13/2016 - 10:02AM,,,,FALSE,,,Division of Sanitation-Aretha,Mallory Avenue,Trash: Litter/debris,,,direct,Direct
2586959,Open,Trash on Streets or in Lots,2,"J. Owen Grundy Park Jersey City, NJ  07302","The J. Owen Grundy Park, next to the path station is covered in garbage and debris.",16279,40.7161902,-74.0315729,"Jersey City, NJ (City Boundary),Exchange Place Park,Ward E,1st Battalion",06/28/2016 - 11:08PM,06/13/2016 - 10:40AM,,,,FALSE,,,Division of Sanitation-Aretha,J. Owen Grundy Park,Trash: Litter/debris,,,phone,Phone
2587128,Open,Trees along City Streets,1,"201 Liberty Avenue Jersey City, NJ",Check Tree,15739,40.743673,-74.061578,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>178.393, ""CSO""=>""RW-2""},Ward D",06/13/2016 - 11:10AM,06/13/2016 - 11:10AM,,,,FALSE,,,Alphonso Lynch,201 Liberty Avenue,Trees along City Streets,,,phone,Phone
2587159,Open,Tall grass or weeds,1,"Boyd Avenue/Bennett St. Jersey City, NJ  07304",The Ford dealership on Rte. 440 has an auto repair shop on Bennett Ave.  They have weeds and bushes that are overgrown.  There is trash and garbage all over their lot.  The area is disgusting because the business owner does not keep the area clean.,16280,40.7210222,-74.0917335,"Ward B,Jersey City, NJ (City Boundary),2nd Battalion,{""Id""=>0, ""Acres""=>248.272, ""CSO""=>""RW-8""}",06/13/2016 - 11:18AM,06/13/2016 - 11:17AM,,,,FALSE,,,Division of Sanitation-Aretha,Boyd Avenue/Bennett St,Tall grass or weeds,,,direct,Direct
2587348,Open,Pothole,1,21 Highland Ave,,11923,40.727288,-74.068319,"Ward B,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion",06/13/2016 - 11:51AM,06/13/2016 - 11:50AM,,,,FALSE,,,Violet Robinson,21 highland ave,Streets: Pothole,168,06/20/2016 - 11:50AM,phone,Phone
2587522,Acknowledged,Parking issues,2,87 Sherman Ave Jersey City N.J. 07307,,16289,40.743856,-74.04767,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>380.503, ""CSO""=>""RE-19""},Ward D",06/13/2016 - 01:18PM,06/13/2016 - 12:35PM,06/13/2016 - 12:37PM,,,FALSE,2,,Traffic - Patricia L,87 Sherman Ave Jersey City N.J. 07307,Traffic and Parking signage/signal issue,,,direct,Direct
2587665,Open,Housing Code Violations/Repairs,1,Private,,15919,40.743856,-74.04767,"3rd Battalion,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>380.503, ""CSO""=>""RE-19""},Ward D",06/13/2016 - 01:00PM,06/13/2016 - 01:00PM,,,,FALSE,,,Housing Code Enforcement,Private,Housing Code Violations/Repairs,,,direct,Direct
2587750,Acknowledged,Speed Hump Request,4,Beacon Ave Jersey City,,16287,40.7372431,-74.055309,"3rd Battalion,Jersey City, NJ (City Boundary),Ward C,{""Id""=>0, ""Acres""=>509.092, ""CSO""=>""RE-18""}",06/23/2016 - 04:13PM,06/13/2016 - 01:18PM,06/13/2016 - 02:17PM,,,FALSE,59,,Traffic - Patricia L,Beacon Ave,Traffic Calming/Pedestrian Safety request,,,direct,Direct
2588234,Open,Housing Code Violations/Repairs,1,Private,,15919,40.70039,-74.099035,"Ward A,Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>103.903, ""CSO""=>""RW-12""},2nd Battalion",07/25/2016 - 04:29PM,06/13/2016 - 03:05PM,,,,FALSE,,,Housing Code Enforcement- Iris,Private,Housing Code Violations/Repairs,,,direct,Direct
2588350,Open,Bedbug/Roach issues,1,Private,,16275,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/13/2016 - 03:19PM,06/13/2016 - 03:19PM,,,,FALSE,,,Chief Healh Investigator O.Diaz,Private,Bedbug/Roach issues,,,direct,Direct
2588742,Open,Service Request Not Listed,2,"296 Union St. Jersey City, NJ  07304",They have a large container full of water outside their house which is breeding mosquitoes and is a health hazard.,16590,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",08/24/2016 - 02:39PM,06/13/2016 - 04:45PM,,,,FALSE,,,Chief Healh Investigator O.Diaz,296 Union St,Service Request Not Listed,,,phone,Phone
2588812,Open,Trash on Streets or in Lots,1,47 Corbin Ave Jersey City Nj,,16279,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/13/2016 - 05:07PM,06/13/2016 - 05:07PM,,,,FALSE,,,Division of Sanitation-Aretha,47 Corbin Ave Jersey City NJ,Trash: Litter/debris,,,direct,Direct
2591629,Acknowledged,Suggestion,3,Private,,16293,40.71159988,-74.06478967,"Jersey City, NJ (City Boundary),{""Id""=>0, ""Acres""=>755.469, ""CSO""=>""RE-5/6""},4th Battalion,Ward F",06/23/2016 - 03:52PM,06/14/2016 - 10:52AM,06/20/2016 - 01:15PM,,,FALSE,8783,,Yolanda - RRC,Private,Suggestion,,,direct,Direct
