Work Type,Work Order #,Address,Street,Cross Street,Results,Completion Date,Work Order Date
SEWER MAINTENANCE,2015000623,692,BERGEN AVE,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER.
",1/22/2015,1/22/2015
SEWER MAINTENANCE,2015000622,14,LOTT ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",1/22/2015,1/22/2015
SEWER MAINTENANCE,2015000621,42,GARRISON AVE,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",1/22/2015,1/22/2015
SEWER MAINTENANCE,2015000460,,BARTHOLDI AVE,SULLIVAN DR,"ON 1-20-15 	CLEANED THE NW AND NE CATCH BASINS.  ON 1-21-15 USED THE ELECTRIC EEL TO SANKE BOTH CATCH BASINS LATERAL.

",1/21/2015,1/20/2015
SEWER MAINTENANCE,2015000620,53,JORDON AVE,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",1/22/2015,1/22/2015
SEWER MAINTENANCE,2015000614,2445,KENNEDY BLVD,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",1/21/2015,1/21/2015
SEWER MAINTENANCE,2015000289,28,BELMONT AVE,,"CCTV INSPECTION REVEALED SEVERAL CRACKS IN THE SEWER PIPE.  NO SIGN OF WATER LEAK.
",1/9/2015,1/9/2015
SEWER MAINTENANCE,2015000288,114,ERIE ST,,"CCTV INSPECTION REVEALED PLUMBER MADE HIS CONNECTION IN AN ACCEPTABLE MATTER.  LETTER WAS SENT TO THE JC PLUMBING DEPARTMENT.
",1/9/2015,1/9/2015
SEWER MAINTENANCE,2015000039,26 A,GRAHAM ST,CENTRAL AVE,"CCTV INSPECTION REVEALED NO FAULTS OR BLOCKAGES WITH THE SEWER THAT WOULD CAUSE THE STREET TO COLLAPSE.
",1/5/2015,1/5/2015
SEWER MAINTENANCE,2015000139,,OLD BERGEN RD,PAMRAPO AVE,"VACUUMED THE SEWER
",1/7/2015,1/7/2015
SEWER MAINTENANCE,2015000254,107 - 113,WAYNE ST,,VACUUMED MANHOLES N588 TO N586,1/6/2015,1/6/2015
SEWER MAINTENANCE,2015000835,,OXFORD AVE,CRAWFORD ST,"VACUUMED THE SEWER
",1/6/2015,1/6/2015
SEWER MAINTENANCE,2015000837,,PINE ST,JOHNSTON AVE,"VACUUMED THE SEWER
",1/6/2015,1/6/2015
SEWER MAINTENANCE,2015000836,,CLINTON AVE,CRESCENT AVE,"VACUUMED THE SEWER
",1/6/2015,1/6/2015
SEWER MAINTENANCE,2015000291,245 - 266,JERSEY AVE,,"VACUUMED MANHOLES N288, N228 AND N226
",1/9/2015,1/9/2015
SEWER MAINTENANCE,2015000137,,MAGNOLIA AVE,TONNELE AVE,"JETTED AND VACUUMED THE SEWER
",1/5/2015,1/5/2015
SEWER MAINTENANCE,2015000135,563 -569,JERSEY AVE,,"JETTED AND VACUUMED THE SEWER
",1/2/2015,1/2/2015
SEWER MAINTENANCE,2015000138,102 - 107,WAYNE ST,,VACUUMED MANHOLES MANHOLE 616 TO 618,1/6/2015,1/6/2015
SEWER MAINTENANCE,2015000273,3,HECKMAN DR,,"JETTED AND VACUUMED THE SEWER
",1/12/2015,1/12/2015
SEWER MAINTENANCE,2015000133,569 - 577,JERSEY AVE,,"JETTED AND VACUUMED THE SEWER
",1/2/2015,1/2/2015
SEWER MAINTENANCE,2015000140,,EGE AVE,MARTIN LUTHER KING DR,"VACUUMED THE SEWER
",1/7/2015,1/7/2015
SEWER MAINTENANCE,2015000275,3,HECKMAN DR,,"JETTED AND VACUUMED THE SEWER TO RELEASE BLOCKAGE.
",1/17/2015,1/17/2015
SEWER MAINTENANCE,2015000580,,3RD ST,COLES ST,"JETTED AND VACUUMED THE SEWER.
",1/30/2015,1/30/2015
SEWER MAINTENANCE,2015000537,800,OCEAN AVE,,"JETTED AND VACUUMED THE SEWER TO RELEASE BLOCKAGE IN LINE.
",1/29/2015,1/29/2015
SEWER MAINTENANCE,2015000645,162 -338,MORGAN ST,,"JETTED AND VACUUMED MANHOLES N304, N306 AND N308.
",1/22/2015,1/22/2015
SEWER MAINTENANCE,2015000645,162 -338,MORGAN ST,,"JETTED AND VACUUMED MANHOLES N304, N306 AND N308.
",1/22/2015,1/22/2015
SEWER MAINTENANCE,2015000642,,JERSEY CITY BLVD,,"VACUUMED THE SEWER FOR WATERWARE AT THE EASTSIDE PLANT.
",1/22/2015,1/22/2015
SEWER MAINTENANCE,2015000634,,JOURNAL SQ,BERGEN AVE,"JETTED AND VACUUMED MANHOLE 124 TO 12 0AND 104 FOR THE CAMERA CREW.
",1/21/2015,1/21/2015
SEWER MAINTENANCE,2015000308,245,OLD BERGEN RD,,"CHECKED THE MAIN SEWER AND ITS SURCHARGED.  JETTED AND VACUUMED THE SEWER TO RELEASE BLOCKAGE.
",1/20/2015,1/20/2015
SEWER MAINTENANCE,2015000607,347,GROVE ST,BAY ST,"JETTED AND VACUUMED THE SEWER
",1/20/2015,1/20/2015
SEWER MAINTENANCE,2015000193,,NEPTUNE AVE,OCEAN AVE,"JETTED AND VACUUMED THE SEWER
",1/14/2015,1/14/2015
SEWER MAINTENANCE,2015000670,20,TONNELE AVE,,"JETTED AND VACUUMED THE MAIN SEWER TO RELEASE BLOCKAGE
 ",1/18/2015,1/18/2015
SEWER MAINTENANCE,2015000151,116 - 122,COLES ST,,JETTED AND VACUUMED MANHOLES N162 TO N160,1/12/2015,1/12/2015
SEWER MAINTENANCE,2015000842,800,OCEAN AVE,,"VACUUMED THE SEWER
",1/30/2015,1/30/2015
SEWER MAINTENANCE,2015000639,212,FREEMAN AVE,,"JETTED AND VACUUMED THE SEWER.  INSTALL PLYWOOD AT AT THE BOTTOM OF MANHOLE AND PUT 6-BAGS OF RAPID SET CEMENT BEHIND THE WOOD WITH 10-BRICKS TO PERFORM THE NECESSARY BRICKWORK INSIDE THE MANHOLE
",1/16/2015,1/16/2015
SEWER MAINTENANCE,2015000191,500,PALISADE AVE,,"VACUUMED THE SEWER
",1/14/2015,1/14/2015
SEWER MAINTENANCE,2015000188,140,SEAVIEW AVE,,"JETTED AND VACUUMED THE SEWER.
",1/14/2015,1/14/2015
SEWER MAINTENANCE,2015000198,94 - 100,COLES ST,,VACUUMED MANHOLE N172 TO N174,1/13/2015,1/13/2015
SEWER MAINTENANCE,2015000197,,OLD BERGEN RD,PAMRAPO AVE,"JETTED AND VACUUMED THE SEWER
",1/13/2015,1/13/2015
SEWER MAINTENANCE,2015000196,,4TH ST,ERIE ST,"VACUUMED THE SEWER
",1/13/2015,1/13/2015
SEWER MAINTENANCE,2015000195,,BRIGHT ST,FLORENCE ST,"JETTED AND VACUUMED THE SEWER
",1/13/2015,1/13/2015
SEWER MAINTENANCE,2015000152,141 -152,COLES ST,,JETTED AND VACUUMED MANHOLE 154 TO 152,1/12/2015,1/12/2015
SEWER MAINTENANCE,2015000605,426,JERSEY AVE,,"JETTED AND VACUUMED THE SEWER
",1/20/2015,1/20/2015
SEWER MAINTENANCE,2015001168,,COTTAGE ST,KENNEDY BLVD,MAIN SEWER IS FUNCTIONING PROPERLY. ,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001216,,BROADWAY,, NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER EXERCISE REGULATOR ALSO WASHED DOWN CHAMBER & PIT. NO GRATING & HANDRAIL. ,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001217,,BROADWAY,,"NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER EXERCISE REGULATOR ALSO WASHED DOWN CHAMBER & PIT. NO GRATING, HANDRAIL OR CONCRETE SLAB. ",3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001218,,VAN WINKLE AVE,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER EXERCISE REGULATOR ALSO WASHED DOWN CHAMBER & PIT.,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001221,,COUNTY RD,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER EXERCISE REGULATOR ALSO WASHED DOWN CHAMBER & PIT. NO HANDRAIL OR CONCRETE SLAB. ,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001222,,MANHATTEN AVE,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER EXERCISE REGULATOR ALSO WASHED DOWN CHAMBER & PIT.,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001224,,SECAUCUS RD,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER EXERCISE REGULATOR ALSO WASHED DOWN CHAMBER & PIT.  NOTE: WAS UNABL;E TO GET VAC TRUCK TO CHMBER BECAUSE OF SNOW & ICE. ,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001225,,SECAUCUS RD,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. SHOVELED AND SALTED WORK AREA.  ,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001226,,MANHATTEN AVE,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. LEFT YARD 11:55AM. SHOVELED AND SALTED WORK AREA.  ,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001227,,SAINT PAULS AVE,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. SHOVELED AND SALTED WORK AREA.  SENT CREW TO BROADWAY.  I PROCEEDED TO VAN WINKLE AVE.  ,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001228,,VAN WINKLE AVE,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD.  NEED TO SHOVEL AREA ENTRY TOO ICY FOR UTILITY TRUCK WILL RETURN ASAP.   ,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001229,,BROADWAY,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. SHOVELED AND SALTED WORK AREA.  VERIFY WITH CREW. ,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001230,,SIP AVE,,WATERWARE WORKING AT JOBSITE WILL MONITOR TRAFFIC CONTROL EQUIPMETN STUILL IN WAY ADDRESS WILL CHANE ASAP CHANGE DATE OVERDUE.  MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. ,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001231,,DUNCAN AVE,,CONTRACTOR EQUIPMENT BLOCKING JOBSITE. NO ONE IN TRACKOR WILL RETURN ASAP. ,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001232,,CLENDENNY AVE,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. SHOVELED & SALTED WORK AREA.  ,3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001302,,MORGAN ST,,"USED 45 SHOVELS OF COLD PATCH TO FILL POTHOLE.
",3/2/2015,2/3/2015
SEWER MAINTENANCE,2015001303,,GRAHAM ST,,"USED 30 SHOVELS OF COLD PATCH TO FILL SEVERAL POTHOLES.
",3/2/2015,2/3/2015
SEWER MAINTENANCE,2015001304,357,VARICK ST,,"USED 7 SHOVELS OF COLD PATCH TO FILL POTHOLE.
",3/2/2015,2/3/2015
SEWER MAINTENANCE,2015001305,297,FAIRMOUNT AVE,,"USED 6 SHOVELS OF COLD PATCH TO FILL POTHOLE.
",3/2/2015,2/3/2015
SEWER MAINTENANCE,2015001310,625,SUMMIT AVE,,"USED 20 SHOVELS OF COLD PATCH TO FILL POTHOLE.
",3/2/2015,2/3/2015
SEWER MAINTENANCE,2015001739,,AMITY ST,,"JETTED, VACUUMED AND FLUSHED THE SEWER
",3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001740,,CLIFTON PL,BALDWIN AVE,"JETTED THE SEWER
",3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001741,,FULTON AVE,BERGEN AVE,"JETTED AND VACUUMED THE SEWER
",3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001485,144,HIGHLAND AVE,,"RESET THE LOOSE MANHOLE COVER
",3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001486,,KELLOGG ST,,"THE MAIN SEWER IS FUNCTIONING PROPERLY
",3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001518,,GREENE ST,MONTGOMERY ST,"CLEANED THE NE AND SW CATCH BASINS.  ALSO, REMOVED SNOW AND ICE OFF AND AROUND THE CATCH BASINS.
",3/2/2015,3/2/2015
SEWER MAINTENANCE,2015001236,,SIP AVE,,"NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO WASHED DEBRIS OFF SHUTTER HINGE POINTS ALSO WASHED DOWN PIT & CHAMBER.  NO GRATING, HANDRIAL OR CONCRETE SLAB. ",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001237,,DUNCAN AVE,,NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO WASHED DEBRIS OFF SHUTTER HINGE POINTS ALSO WASHED DOWN PIT & CHAMBER.  NO HANDRAIL OR CONCRETE SLAB. ,3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001238,,CLENDENNY AVE,,NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO WASHED DEBRIS OFF SHUTTER HINGE POINTS ALSO WASHED DOWN PIT & CHAMBER.  NO HANDRAIL OR CONCRETE SLAB. ,3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001239,,CLAREMONT AVE,,NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO WASHED DEBRIS OFF SHUTTER HINGE POINTS ALSO WASHED DOWN PIT & CHAMBER.  NO HANDRAIL. ,3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001240,,FISK ST,,NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO WASHED DEBRIS OFF SHUTTER HINGE POINTS ALSO WASHED DOWN PIT & CHAMBER.  NO HANDRAIL ,3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001241,,BROWN PL,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. VERIFY WITH CREW. WEATHER CONDITIONS COLD. ,3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001243,,SAINT PAULS AVE,,"PLEASE PERFORM MAINTENANCE ON THE NETTING CHAMBER. MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD.  START DELAY BY PERSONNEL ISSUE.  AFTER FINISHING JOB, PROBLEM WITH OUTRIGGER ON ROLL OFF RESOLVED BY CRAIG AT JOBSITE VERIFY",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001245,,DANFORTH AVE,,PLEASE PERFORM MAINTENANCE ON THE NETTING CHAMBER. MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD.  6 SCOPES AFTER CHANGE. 6964 RETURNED TO WSP TO DUMP NETS DRAIN CONTAINER SENT CREW TO BROWN PL,3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001377,,PALISADE AVE,FRANKLIN ST,"USED 2 TONS OF COLD PATCH TO FILL SEVERAL POTHOLES.
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001378,,CENTRAL AVE,HAGUE ST,"USED 1 TON OF COLD PATCH TO FILL SEVERAL POTHOLES.
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001306,,GARFIELD AVE,,"USED 3 TONS OF COLD PATCH TO FILL SEVERAL POTHOLES.
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001307,,DANFORTH AVE,PRINCETON AVE,"USED 3 YARDS OF COLD PATCH TO FILL SEVERAL POTHOLES.
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001308,,DUNCAN AVE,STATE HWY 440,"USED 2 YARDS OF COLD PATCH TO FILL SEVERAL POTHOLES.
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001309,,WEST SIDE AVE,BROADWAY,"USED 3 YARDS OF COLD PATCH TO FILL SEVERAL POTHOLES.
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001311,,SUMMIT AVE,SECAUCUS RD,"USED 25 SHOVELS OF COLD PATCH TO FILL POTHOLES.
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001312,,BALDWIN AVE,,"USED 3 TONS OF COLD PATCH TO FILL SEVERAL POTHOLES.
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001313,,SUMMIT AVE,,"USED 2 TONS OF COLD PATCH TO FILL SEVERAL POTHOLES.
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001314,,OCEAN AVE,,"USED 3 TONS OF COLD PATCH TO FILL SEVERAL POTHOLES.
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001742,,RUTGERS AVE,WARNER AVE,"VACUUMED AND FLUSHED THE SEWER
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001744,,NEPTUNE AVE,GARFIELD AVE,"JETTED AND VACUUMED THE SEWER
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001746,,BRAMHALL AVE,RANDOLPH AVE,"FLUSHED THE SEWER
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001747,,BALDWIN AVE,HIGH ST,"JETTED AND FLUSHED THE SEWER
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001748,,REED ST,BERGEN AVE,"JETTED AND FLUSHED THE SEWER
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001479,61,GRAND ST,GREENE ST,"CLEANED THE CATCH BASIN.  ALSO, REMOVED SNOW OFF AND AROUND THE CATCH BASIN
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001480,,GREENE ST,YORK ST,"CLEANED THE NW AND SE CATCH BASINS.  ALSO, REMOVED DEBRIS AND ICE OFF AND AROUND THE CATCH BASINS.",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001481,,GREENE ST,MONTGOMERY ST,"CLEANED THE SE CATCH BASIN.  ALSO, CLEARED SNOW AND ICE OFF AND AROUND ALL CATCH BASINS.
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015002181,,FULTON AVE,MARTIN LUTHER KING DR,"CLEANED THE NORTHWEST CATCH BASIN.
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015003712,328,STEVENS AVE,,"CCTV INSPECTION REVEALED NO FAULTS OR DEFECTS WITH THE MAIN SEWER.
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001235,101,HUDSON ST,EXCHANGE PL,"CLEANED TWO (2) CATCH BASINS.  ALSO, RETRIEVED PHONE FROM INSIDE THE CATCH BASIN
",3/3/2015,3/3/2015
SEWER MAINTENANCE,2015001169,17,BIDWELL AVE,,ON 3-2-15 CHECKED THE MAIN SEWER AND ITS FUNCTIONING PROPERLY. THERE'S A DEPRESSION NEAR CUSTOMER'S STAIRS ON SIDEWALK.  ON 3-4-15  OBSERVED CRACKS IN THE STREET AND NO CAVE-IN.,3/4/2015,3/2/2015
SEWER MAINTENANCE,2015001171,167,YORK ST,,"MAIN SEWER IS FUNCTIONING PROPERLY
",3/4/2015,3/2/2015
SEWER MAINTENANCE,2015001750,,OLD BERGEN RD,PAMRAPO AVE,"JETTED THE SEWER
",3/4/2015,3/4/2015
SEWER MAINTENANCE,2015001754,,SEAVIEW AVE,GARFIELD AVE,"JETTED AND VACUUMED MANHOLE 64 TO 72
",3/4/2015,3/4/2015
SEWER MAINTENANCE,2015001760,,SEAVIEW AVE,GARFIELD AVE,"JETTED MANHOLE 330 TO 336
",3/4/2015,3/4/2015
SEWER MAINTENANCE,2015001762,,FAIRMOUNT AVE,CLIFTON PL,"VACUUMED AND FLUSHED THE SEWER
",3/4/2015,3/4/2015
SEWER MAINTENANCE,2015001508,356,OCEAN AVE,,"OWNER MUST SEEK PLUMBER FOR THE PROBLEM.  MAIN SEWER IS FUNCTIONING PROPERLY
",3/4/2015,3/4/2015
SEWER MAINTENANCE,2015001520,,FORREST ST,MARTIN LUTHER KING DR,"CLEANED THE SW CATCH BASIN.  ALSO, REMOVED SNOW AND ICE OFF AND AROUND ALL CATCH BASINS
",3/4/2015,3/4/2015
SEWER MAINTENANCE,2015001523,,BAYVIEW AVE,OCEAN AVE,"CLEANED THE SW CATCH BASINS.  ALSO, REMOVED SNOW AND ICE OFF AND AROUND ALL CATCH BASINS
",3/4/2015,3/4/2015
SEWER MAINTENANCE,2015003711,485 - 487,GARFIELD AVE,,"CCTV INSPECTION REVEALED THAT JCMUA PERSONNEL REPAIRED THE SEWER IN AN ACCEPTABLE MATTER.
",3/4/2015,3/4/2015
SEWER MAINTENANCE,2015001233,90,NEPTUNE AVE,,"OWNER MUST SEEK PLUMBER FOR THE PROBLEM.  MAIN SEWER IS FUNCTIONING PROPERLY.
",3/4/2015,3/3/2015
SEWER MAINTENANCE,2015001259,,HALLADAY ST,CARTERET AVE,JETTED AND VACUUMED MANHOLE N79 TO N80,3/4/2015,3/4/2015
SEWER MAINTENANCE,2015001263,,HALLADAY ST,CARTERET AVE,JETTED AND VACUUMED MANHOLE N81 TO N82,3/4/2015,3/4/2015
SEWER MAINTENANCE,2015001265,,HALLADAY ST,CARTERET AVE,JETTED AND VACUUMED MANHOLE N80 TO N81,3/4/2015,3/4/2015
SEWER MAINTENANCE,2015001286,,DANFORTH AVE,,"NO GRATING, HANDRAIL OR CONCRETE SLAB.  INSPECTION NO WATER GOING OVER THE WEIR AT THIS TIME BUT ITS BEGINNING TO ELEVATED AT FIRST RUNG LEVEL SNOW MELTING ALONG WITH RAIN. ",3/4/2015,3/4/2015
